index,timestamp,sof,eof,exposure_time,offset,length
0000000102,58956337,58956436,58991459,99,1018775184,9987992
0000000103,59006325,59006424,59041447,99,1028763176,9987992
0000000104,59056313,59056412,59091435,99,1038751168,9987992
0000000105,59106301,59106400,59141423,99,1048739160,9987992
0000000106,59156289,59156388,59191411,99,1058727152,9987992
0000000107,59206276,59206375,59241398,99,1068715144,9987992
0000000108,59256264,59256363,59291386,99,1078703136,9987992
0000000109,59306252,59306351,59341374,99,1088691128,9987992
0000000110,59356240,59356339,59391362,99,1098679120,9987992
0000000111,59406228,59406327,59441350,99,1108667112,9987992
0000000112,59456216,59456315,59491338,99,1118655104,9987992
0000000113,59506204,59506303,59541326,99,1128643096,9987992
0000000114,59556192,59556291,59591314,99,1138631088,9987992
0000000115,59606179,59606278,59641301,99,1148619080,9987992
0000000116,59656167,59656266,59691289,99,1158607072,9987992
0000000117,59706155,59706254,59741277,99,1168595064,9987992
0000000118,59756143,59756242,59791265,99,1178583056,9987992
0000000119,59806131,59806230,59841253,99,1188571048,9987992
0000000120,59856119,59856218,59891241,99,1198559040,9987992
0000000121,59906107,59906206,59941229,99,1208547032,9987992
0000000122,59956094,59956193,59991216,99,1218535024,9987992
0000000123,60006082,60006181,60041204,99,1228523016,9987992
0000000124,60056070,60056169,60091192,99,1238511008,9987992
0000000125,60106058,60106157,60141180,99,1248499000,9987992
0000000126,60156046,60156145,60191168,99,1258486992,9987992
0000000127,60206034,60206133,60241156,99,1268474984,9987992
0000000128,60256022,60256121,60291144,99,1278462976,9987992
0000000129,60306009,60306108,60341131,99,1288450968,9987992
0000000130,60355997,60356096,60391119,99,1298438960,9987992
0000000131,60405985,60406084,60441107,99,1308426952,9987992
0000000132,60455973,60456072,60491095,99,1318414944,9987992
0000000133,60505961,60506060,60541083,99,1328402936,9987992
0000000134,60555949,60556048,60591071,99,1338390928,9987992
0000000135,60605937,60606036,60641059,99,1348378920,9987992
0000000136,60655925,60656024,60691047,99,1358366912,9987992
0000000137,60705912,60706011,60741034,99,1368354904,9987992
0000000138,60755900,60755999,60791022,99,1378342896,9987992
0000000139,60805888,60805987,60841010,99,1388330888,9987992
0000000140,60855876,60855975,60890998,99,1398318880,9987992
0000000141,60905864,60905963,60940986,99,1408306872,9987992
0000000142,60955852,60955951,60990974,99,1418294864,9987992
0000000143,61005840,61005939,61040962,99,1428282856,9987992
0000000144,61055827,61055926,61090949,99,1438270848,9987992
0000000145,61105815,61105914,61140937,99,1448258840,9987992
0000000146,61155803,61155902,61190925,99,1458246832,9987992
0000000147,61205791,61205890,61240913,99,1468234824,9987992
0000000148,61255779,61255878,61290901,99,1478222816,9987992
0000000149,61305767,61305866,61340889,99,1488210808,9987992
0000000150,61355755,61355854,61390877,99,1498198800,9987992
0000000151,61405742,61405841,61440864,99,1508186792,9987992
0000000152,61455730,61455829,61490852,99,1518174784,9987992
0000000153,61505718,61505817,61540840,99,1528162776,9987992
0000000154,61555706,61555805,61590828,99,1538150768,9987992
0000000155,61605694,61605793,61640816,99,1548138760,9987992
0000000156,61655682,61655781,61690804,99,1558126752,9987992
0000000157,61705670,61705769,61740792,99,1568114744,9987992
0000000158,61755657,61755756,61790779,99,1578102736,9987992
0000000159,61805645,61805744,61840767,99,1588090728,9987992
0000000160,61855633,61855732,61890755,99,1598078720,9987992
0000000161,61905621,61905720,61940743,99,1608066712,9987992
0000000162,61955609,61955708,61990731,99,1618054704,9987992
0000000163,62005597,62005696,62040719,99,1628042696,9987992
0000000164,62055585,62055684,62090707,99,1638030688,9987992
0000000165,62105573,62105672,62140695,99,1648018680,9987992
0000000166,62155560,62155659,62190682,99,1658006672,9987992
0000000167,62205548,62205647,62240670,99,1667994664,9987992
0000000168,62255536,62255635,62290658,99,1677982656,9987992
0000000169,62305524,62305623,62340646,99,1687970648,9987992
0000000170,62355512,62355611,62390634,99,1697958640,9987992
0000000171,62405500,62405599,62440622,99,1707946632,9987992
0000000172,62455488,62455587,62490610,99,1717934624,9987992
