index,timestamp,offset,length
0000000000,53843860,0,124984
0000000001,53845113,124984,124984
0000000002,53846366,249968,124984
0000000003,53847619,374952,124984
0000000004,53848872,499936,124984
0000000005,53850125,624920,124984
0000000006,53851378,749904,124984
0000000007,53852631,874888,124984
0000000008,53853884,999872,124984
0000000009,53855136,1124856,124984
0000000010,53856404,1249840,124984
0000000011,53857713,1374824,124984
0000000012,53859023,1499808,124984
0000000013,53860333,1624792,124984
0000000014,53861643,1749776,124984
0000000015,53862953,1874760,124984
0000000016,53864263,1999744,124984
0000000017,53865573,2124728,124984
0000000018,53866882,2249712,124984
0000000019,53868192,2374696,124984
0000000020,53869502,2499680,124984
0000000021,53870812,2624664,124984
0000000022,53872122,2749648,124984
0000000023,53873432,2874632,124984
0000000024,53874741,2999616,124984
0000000025,53876051,3124600,124984
0000000026,53877361,3249584,124984
0000000027,53878671,3374568,124984
0000000028,53879981,3499552,124984
0000000029,53881291,3624536,124984
0000000030,53882572,3749520,124984
0000000031,53883825,3874504,124984
0000000032,53885078,3999488,124984
0000000033,53886331,4124472,124984
0000000034,53887584,4249456,124984
0000000035,53888837,4374440,124984
0000000036,53890089,4499424,124984
0000000037,53891342,4624408,124984
0000000038,53892595,4749392,124984
0000000039,53893848,4874376,124984
0000000040,53895101,4999360,124984
0000000041,53896354,5124344,124984
0000000042,53897607,5249328,124984
0000000043,53898860,5374312,124984
0000000044,53900113,5499296,124984
0000000045,53901366,5624280,124984
0000000046,53902618,5749264,124984
0000000047,53903871,5874248,124984
0000000048,53905124,5999232,124984
0000000049,53906391,6124216,124984
0000000050,53907701,6249200,124984
0000000051,53909011,6374184,124984
0000000052,53910321,6499168,124984
0000000053,53911631,6624152,124984
0000000054,53912941,6749136,124984
0000000055,53914251,6874120,124984
0000000056,53915560,6999104,124984
0000000057,53916870,7124088,124984
0000000058,53918180,7249072,124984
0000000059,53919490,7374056,124984
0000000060,53920800,7499040,124984
0000000061,53922110,7624024,124984
0000000062,53923419,7749008,124984
0000000063,53924729,7873992,124984
0000000064,53926039,7998976,124984
0000000065,53927349,8123960,124984
0000000066,53928659,8248944,124984
0000000067,53929969,8373928,124984
0000000068,53931279,8498912,124984
0000000069,53932560,8623896,124984
0000000070,53933813,8748880,124984
0000000071,53935066,8873864,124984
0000000072,53936319,8998848,124984
0000000073,53937572,9123832,124984
0000000074,53938824,9248816,124984
0000000075,53940077,9373800,124984
0000000076,53941330,9498784,124984
0000000077,53942583,9623768,124984
0000000078,53943836,9748752,124984
0000000079,53945089,9873736,124984
0000000080,53946342,9998720,124984
0000000081,53947595,10123704,124984
0000000082,53948848,10248688,124984
0000000083,53950101,10373672,124984
0000000084,53951353,10498656,124984
0000000085,53952606,10623640,124984
0000000086,53953859,10748624,124984
0000000087,53955112,10873608,124984
0000000088,53956379,10998592,124984
0000000089,53957689,11123576,124984
0000000090,53958999,11248560,124984
0000000091,53960309,11373544,124984
0000000092,53961619,11498528,124984
0000000093,53962929,11623512,124984
0000000094,53964238,11748496,124984
0000000095,53965548,11873480,124984
0000000096,53966858,11998464,124984
0000000097,53968168,12123448,124984
0000000098,53969478,12248432,124984
0000000099,53970788,12373416,124984
0000000100,53972097,12498400,124984
0000000101,53973407,12623384,124984
0000000102,53974717,12748368,124984
0000000103,53976027,12873352,124984
0000000104,53977337,12998336,124984
0000000105,53978647,13123320,124984
0000000106,53979957,13248304,124984
0000000107,53981266,13373288,124984
0000000108,53982548,13498272,124984
0000000109,53983801,13623256,124984
0000000110,53985054,13748240,124984
0000000111,53986307,13873224,124984
0000000112,53987559,13998208,124984
0000000113,53988812,14123192,124984
0000000114,53990065,14248176,124984
0000000115,53991318,14373160,124984
0000000116,53992571,14498144,124984
0000000117,53993824,14623128,124984
0000000118,53995077,14748112,124984
0000000119,53996330,14873096,124984
0000000120,53997583,14998080,124984
0000000121,53998836,15123064,124984
0000000122,54000088,15248048,124984
0000000123,54001341,15373032,124984
0000000124,54002594,15498016,124984
0000000125,54003847,15623000,124984
0000000126,54005100,15747984,124984
0000000127,54006367,15872968,124984
0000000128,54007677,15997952,124984
0000000129,54008987,16122936,124984
0000000130,54010297,16247920,124984
0000000131,54011607,16372904,124984
0000000132,54012916,16497888,124984
0000000133,54014226,16622872,124984
0000000134,54015536,16747856,124984
0000000135,54016846,16872840,124984
0000000136,54018156,16997824,124984
0000000137,54019466,17122808,124984
0000000138,54020775,17247792,124984
0000000139,54022085,17372776,124984
0000000140,54023395,17497760,124984
0000000141,54024705,17622744,124984
0000000142,54026015,17747728,124984
0000000143,54027325,17872712,124984
0000000144,54028635,17997696,124984
0000000145,54029944,18122680,124984
0000000146,54031254,18247664,124984
0000000147,54032536,18372648,124984
0000000148,54033789,18497632,124984
0000000149,54035041,18622616,124984
0000000150,54036294,18747600,124984
0000000151,54037547,18872584,124984
0000000152,54038800,18997568,124984
0000000153,54040053,19122552,124984
0000000154,54041306,19247536,124984
0000000155,54042559,19372520,124984
0000000156,54043812,19497504,124984
0000000157,54045065,19622488,124984
0000000158,54046318,19747472,124984
0000000159,54047570,19872456,124984
0000000160,54048823,19997440,124984
0000000161,54050076,20122424,124984
0000000162,54051329,20247408,124984
0000000163,54052582,20372392,124984
0000000164,54053835,20497376,124984
0000000165,54055088,20622360,124984
0000000166,54056355,20747344,124984
0000000167,54057665,20872328,124984
0000000168,54058975,20997312,124984
0000000169,54060285,21122296,124984
0000000170,54061594,21247280,124984
0000000171,54062904,21372264,124984
0000000172,54064214,21497248,124984
0000000173,54065524,21622232,124984
0000000174,54066834,21747216,124984
0000000175,54068144,21872200,124984
0000000176,54069454,21997184,124984
0000000177,54070763,22122168,124984
0000000178,54072073,22247152,124984
0000000179,54073383,22372136,124984
0000000180,54074693,22497120,124984
0000000181,54076003,22622104,124984
0000000182,54077313,22747088,124984
0000000183,54078622,22872072,124984
0000000184,54079932,22997056,124984
0000000185,54081242,23122040,124984
0000000186,54082524,23247024,124984
0000000187,54083776,23372008,124984
0000000188,54085029,23496992,124984
0000000189,54086282,23621976,124984
0000000190,54087535,23746960,124984
0000000191,54088788,23871944,124984
0000000192,54090041,23996928,124984
0000000193,54091294,24121912,124984
0000000194,54092547,24246896,124984
0000000195,54093800,24371880,124984
0000000196,54095053,24496864,124984
0000000197,54096305,24621848,124984
0000000198,54097558,24746832,124984
0000000199,54098811,24871816,124984
0000000200,54100064,24996800,124984
0000000201,54101317,25121784,124984
0000000202,54102570,25246768,124984
0000000203,54103823,25371752,124984
0000000204,54105076,25496736,124984
0000000205,54106343,25621720,124984
0000000206,54107653,25746704,124984
0000000207,54108963,25871688,124984
0000000208,54110272,25996672,124984
0000000209,54111582,26121656,124984
0000000210,54112892,26246640,124984
0000000211,54114202,26371624,124984
0000000212,54115512,26496608,124984
0000000213,54116822,26621592,124984
0000000214,54118132,26746576,124984
0000000215,54119441,26871560,124984
0000000216,54120751,26996544,124984
0000000217,54122061,27121528,124984
0000000218,54123371,27246512,124984
0000000219,54124681,27371496,124984
0000000220,54125991,27496480,124984
0000000221,54127300,27621464,124984
0000000222,54128610,27746448,124984
0000000223,54129920,27871432,124984
0000000224,54131230,27996416,124984
0000000225,54132511,28121400,124984
0000000226,54133764,28246384,124984
0000000227,54135017,28371368,124984
0000000228,54136270,28496352,124984
0000000229,54137523,28621336,124984
0000000230,54138776,28746320,124984
0000000231,54140029,28871304,124984
0000000232,54141282,28996288,124984
0000000233,54142535,29121272,124984
0000000234,54143787,29246256,124984
0000000235,54145040,29371240,124984
0000000236,54146293,29496224,124984
0000000237,54147546,29621208,124984
0000000238,54148799,29746192,124984
0000000239,54150052,29871176,124984
0000000240,54151305,29996160,124984
0000000241,54152558,30121144,124984
0000000242,54153811,30246128,124984
0000000243,54155064,30371112,124984
0000000244,54156331,30496096,124984
0000000245,54157641,30621080,124984
0000000246,54158950,30746064,124984
0000000247,54160260,30871048,124984
0000000248,54161570,30996032,124984
0000000249,54162880,31121016,124984
0000000250,54164190,31246000,124984
0000000251,54165500,31370984,124984
0000000252,54166810,31495968,124984
0000000253,54168119,31620952,124984
0000000254,54169429,31745936,124984
0000000255,54170739,31870920,124984
0000000256,54172049,31995904,124984
0000000257,54173359,32120888,124984
0000000258,54174669,32245872,124984
0000000259,54175978,32370856,124984
0000000260,54177288,32495840,124984
0000000261,54178598,32620824,124984
0000000262,54179908,32745808,124984
0000000263,54181218,32870792,124984
0000000264,54182499,32995776,124984
0000000265,54183752,33120760,124984
0000000266,54185005,33245744,124984
0000000267,54186258,33370728,124984
0000000268,54187511,33495712,124984
0000000269,54188764,33620696,124984
0000000270,54190017,33745680,124984
0000000271,54191270,33870664,124984
0000000272,54192522,33995648,124984
0000000273,54193775,34120632,124984
0000000274,54195028,34245616,124984
0000000275,54196281,34370600,124984
0000000276,54197534,34495584,124984
0000000277,54198787,34620568,124984
0000000278,54200040,34745552,124984
0000000279,54201293,34870536,124984
0000000280,54202546,34995520,124984
0000000281,54203799,35120504,124984
0000000282,54205051,35245488,124984
0000000283,54206319,35370472,124984
0000000284,54207628,35495456,124984
0000000285,54208938,35620440,124984
0000000286,54210248,35745424,124984
0000000287,54211558,35870408,124984
0000000288,54212868,35995392,124984
0000000289,54214178,36120376,124984
0000000290,54215488,36245360,124984
0000000291,54216797,36370344,124984
0000000292,54218107,36495328,124984
0000000293,54219417,36620312,124984
0000000294,54220727,36745296,124984
0000000295,54222037,36870280,124984
0000000296,54223347,36995264,124984
0000000297,54224656,37120248,124984
0000000298,54225966,37245232,124984
0000000299,54227276,37370216,124984
0000000300,54228586,37495200,124984
0000000301,54229896,37620184,124984
0000000302,54231206,37745168,124984
0000000303,54232487,37870152,124984
0000000304,54233740,37995136,124984
0000000305,54234993,38120120,124984
0000000306,54236246,38245104,124984
0000000307,54237499,38370088,124984
0000000308,54238752,38495072,124984
0000000309,54240005,38620056,124984
0000000310,54241257,38745040,124984
0000000311,54242510,38870024,124984
0000000312,54243763,38995008,124984
0000000313,54245016,39119992,124984
0000000314,54246269,39244976,124984
0000000315,54247522,39369960,124984
0000000316,54248775,39494944,124984
0000000317,54250028,39619928,124984
0000000318,54251281,39744912,124984
0000000319,54252534,39869896,124984
0000000320,54253786,39994880,124984
0000000321,54255039,40119864,124984
0000000322,54256306,40244848,124984
0000000323,54257616,40369832,124984
0000000324,54258926,40494816,124984
0000000325,54260236,40619800,124984
0000000326,54261546,40744784,124984
0000000327,54262856,40869768,124984
0000000328,54264166,40994752,124984
0000000329,54265475,41119736,124984
0000000330,54266785,41244720,124984
0000000331,54268095,41369704,124984
0000000332,54269405,41494688,124984
0000000333,54270715,41619672,124984
0000000334,54272025,41744656,124984
0000000335,54273335,41869640,124984
0000000336,54274644,41994624,124984
0000000337,54275954,42119608,124984
0000000338,54277264,42244592,124984
0000000339,54278574,42369576,124984
0000000340,54279884,42494560,124984
0000000341,54281194,42619544,124984
0000000342,54282475,42744528,124984
0000000343,54283728,42869512,124984
0000000344,54284981,42994496,124984
0000000345,54286234,43119480,124984
0000000346,54287487,43244464,124984
0000000347,54288739,43369448,124984
0000000348,54289992,43494432,124984
0000000349,54291245,43619416,124984
0000000350,54292498,43744400,124984
0000000351,54293751,43869384,124984
0000000352,54295004,43994368,124984
0000000353,54296257,44119352,124984
0000000354,54297510,44244336,124984
0000000355,54298763,44369320,124984
0000000356,54300016,44494304,124984
0000000357,54301268,44619288,124984
0000000358,54302521,44744272,124984
0000000359,54303774,44869256,124984
0000000360,54305027,44994240,124984
0000000361,54306294,45119224,124984
0000000362,54307604,45244208,124984
0000000363,54308914,45369192,124984
0000000364,54310224,45494176,124984
0000000365,54311534,45619160,124984
0000000366,54312844,45744144,124984
0000000367,54314153,45869128,124984
0000000368,54315463,45994112,124984
0000000369,54316773,46119096,124984
0000000370,54318083,46244080,124984
0000000371,54319393,46369064,124984
0000000372,54320703,46494048,124984
0000000373,54322013,46619032,124984
0000000374,54323322,46744016,124984
0000000375,54324632,46869000,124984
0000000376,54325942,46993984,124984
0000000377,54327252,47118968,124984
0000000378,54328562,47243952,124984
0000000379,54329872,47368936,124984
0000000380,54331181,47493920,124984
0000000381,54332463,47618904,124984
0000000382,54333716,47743888,124984
0000000383,54334969,47868872,124984
0000000384,54336222,47993856,124984
0000000385,54337474,48118840,124984
0000000386,54338727,48243824,124984
0000000387,54339980,48368808,124984
0000000388,54341233,48493792,124984
0000000389,54342486,48618776,124984
0000000390,54343739,48743760,124984
0000000391,54344992,48868744,124984
0000000392,54346245,48993728,124984
0000000393,54347498,49118712,124984
0000000394,54348751,49243696,124984
0000000395,54350003,49368680,124984
0000000396,54351256,49493664,124984
0000000397,54352509,49618648,124984
0000000398,54353762,49743632,124984
0000000399,54355015,49868616,124984
0000000400,54356282,49993600,124984
0000000401,54357592,50118584,124984
0000000402,54358902,50243568,124984
0000000403,54360212,50368552,124984
0000000404,54361522,50493536,124984
0000000405,54362831,50618520,124984
0000000406,54364141,50743504,124984
0000000407,54365451,50868488,124984
0000000408,54366761,50993472,124984
0000000409,54368071,51118456,124984
0000000410,54369381,51243440,124984
0000000411,54370691,51368424,124984
0000000412,54372000,51493408,124984
0000000413,54373310,51618392,124984
0000000414,54374620,51743376,124984
0000000415,54375930,51868360,124984
0000000416,54377240,51993344,124984
0000000417,54378550,52118328,124984
0000000418,54379859,52243312,124984
0000000419,54381169,52368296,124984
0000000420,54382451,52493280,124984
0000000421,54383704,52618264,124984
0000000422,54384957,52743248,124984
0000000423,54386209,52868232,124984
0000000424,54387462,52993216,124984
0000000425,54388715,53118200,124984
0000000426,54389968,53243184,124984
0000000427,54391221,53368168,124984
0000000428,54392474,53493152,124984
0000000429,54393727,53618136,124984
0000000430,54394980,53743120,124984
0000000431,54396233,53868104,124984
0000000432,54397486,53993088,124984
0000000433,54398738,54118072,124984
0000000434,54399991,54243056,124984
0000000435,54401244,54368040,124984
0000000436,54402497,54493024,124984
0000000437,54403750,54618008,124984
0000000438,54405003,54742992,124984
0000000439,54406270,54867976,124984
0000000440,54407580,54992960,124984
0000000441,54408890,55117944,124984
0000000442,54410200,55242928,124984
0000000443,54411509,55367912,124984
0000000444,54412819,55492896,124984
0000000445,54414129,55617880,124984
0000000446,54415439,55742864,124984
0000000447,54416749,55867848,124984
0000000448,54418059,55992832,124984
0000000449,54419369,56117816,124984
0000000450,54420678,56242800,124984
0000000451,54421988,56367784,124984
0000000452,54423298,56492768,124984
0000000453,54424608,56617752,124984
0000000454,54425918,56742736,124984
0000000455,54427228,56867720,124984
0000000456,54428537,56992704,124984
0000000457,54429847,57117688,124984
0000000458,54431157,57242672,124984
0000000459,54432439,57367656,124984
0000000460,54433691,57492640,124984
0000000461,54434944,57617624,124984
0000000462,54436197,57742608,124984
0000000463,54437450,57867592,124984
0000000464,54438703,57992576,124984
0000000465,54439956,58117560,124984
0000000466,54441209,58242544,124984
0000000467,54442462,58367528,124984
0000000468,54443715,58492512,124984
0000000469,54444968,58617496,124984
0000000470,54446220,58742480,124984
0000000471,54447473,58867464,124984
0000000472,54448726,58992448,124984
0000000473,54449979,59117432,124984
0000000474,54451232,59242416,124984
0000000475,54452485,59367400,124984
0000000476,54453738,59492384,124984
0000000477,54454991,59617368,124984
0000000478,54456258,59742352,124984
0000000479,54457568,59867336,124984
0000000480,54458878,59992320,124984
0000000481,54460187,60117304,124984
0000000482,54461497,60242288,124984
0000000483,54462807,60367272,124984
0000000484,54464117,60492256,124984
0000000485,54465427,60617240,124984
0000000486,54466737,60742224,124984
0000000487,54468047,60867208,124984
0000000488,54469356,60992192,124984
0000000489,54470666,61117176,124984
0000000490,54471976,61242160,124984
0000000491,54473286,61367144,124984
0000000492,54474596,61492128,124984
0000000493,54475906,61617112,124984
0000000494,54477216,61742096,124984
0000000495,54478525,61867080,124984
0000000496,54479835,61992064,124984
0000000497,54481145,62117048,124984
0000000498,54482426,62242032,124984
0000000499,54483679,62367016,124984
0000000500,54484932,62492000,124984
0000000501,54486185,62616984,124984
0000000502,54487438,62741968,124984
0000000503,54488691,62866952,124984
0000000504,54489944,62991936,124984
0000000505,54491197,63116920,124984
0000000506,54492450,63241904,124984
0000000507,54493703,63366888,124984
0000000508,54494955,63491872,124984
0000000509,54496208,63616856,124984
0000000510,54497461,63741840,124984
0000000511,54498714,63866824,124984
0000000512,54499967,63991808,124984
0000000513,54501220,64116792,124984
0000000514,54502473,64241776,124984
0000000515,54503726,64366760,124984
0000000516,54504979,64491744,124984
0000000517,54506246,64616728,124984
0000000518,54507556,64741712,124984
0000000519,54508865,64866696,124984
0000000520,54510175,64991680,124984
0000000521,54511485,65116664,124984
0000000522,54512795,65241648,124984
0000000523,54514105,65366632,124984
0000000524,54515415,65491616,124984
0000000525,54516725,65616600,124984
0000000526,54518034,65741584,124984
0000000527,54519344,65866568,124984
0000000528,54520654,65991552,124984
0000000529,54521964,66116536,124984
0000000530,54523274,66241520,124984
0000000531,54524584,66366504,124984
0000000532,54525894,66491488,124984
0000000533,54527203,66616472,124984
0000000534,54528513,66741456,124984
0000000535,54529823,66866440,124984
0000000536,54531133,66991424,124984
0000000537,54532414,67116408,124984
0000000538,54533667,67241392,124984
0000000539,54534920,67366376,124984
0000000540,54536173,67491360,124984
0000000541,54537426,67616344,124984
0000000542,54538679,67741328,124984
0000000543,54539932,67866312,124984
0000000544,54541185,67991296,124984
0000000545,54542437,68116280,124984
0000000546,54543690,68241264,124984
0000000547,54544943,68366248,124984
0000000548,54546196,68491232,124984
0000000549,54547449,68616216,124984
0000000550,54548702,68741200,124984
0000000551,54549955,68866184,124984
0000000552,54551208,68991168,124984
0000000553,54552461,69116152,124984
0000000554,54553714,69241136,124984
0000000555,54554966,69366120,124984
0000000556,54556234,69491104,124984
0000000557,54557543,69616088,124984
0000000558,54558853,69741072,124984
0000000559,54560163,69866056,124984
0000000560,54561473,69991040,124984
0000000561,54562783,70116024,124984
0000000562,54564093,70241008,124984
0000000563,54565403,70365992,124984
0000000564,54566712,70490976,124984
0000000565,54568022,70615960,124984
0000000566,54569332,70740944,124984
0000000567,54570642,70865928,124984
0000000568,54571952,70990912,124984
0000000569,54573262,71115896,124984
0000000570,54574572,71240880,124984
0000000571,54575881,71365864,124984
0000000572,54577191,71490848,124984
0000000573,54578501,71615832,124984
0000000574,54579811,71740816,124984
0000000575,54581121,71865800,124984
0000000576,54582402,71990784,124984
0000000577,54583655,72115768,124984
0000000578,54584908,72240752,124984
0000000579,54586161,72365736,124984
0000000580,54587414,72490720,124984
0000000581,54588667,72615704,124984
0000000582,54589920,72740688,124984
0000000583,54591172,72865672,124984
0000000584,54592425,72990656,124984
0000000585,54593678,73115640,124984
0000000586,54594931,73240624,124984
0000000587,54596184,73365608,124984
0000000588,54597437,73490592,124984
0000000589,54598690,73615576,124984
0000000590,54599943,73740560,124984
0000000591,54601196,73865544,124984
0000000592,54602449,73990528,124984
0000000593,54603701,74115512,124984
0000000594,54604954,74240496,124984
0000000595,54606221,74365480,124984
0000000596,54607531,74490464,124984
0000000597,54608841,74615448,124984
0000000598,54610151,74740432,124984
0000000599,54611461,74865416,124984
0000000600,54612771,74990400,124984
0000000601,54614081,75115384,124984
0000000602,54615390,75240368,124984
0000000603,54616700,75365352,124984
0000000604,54618010,75490336,124984
0000000605,54619320,75615320,124984
0000000606,54620630,75740304,124984
0000000607,54621940,75865288,124984
0000000608,54623250,75990272,124984
0000000609,54624559,76115256,124984
0000000610,54625869,76240240,124984
0000000611,54627179,76365224,124984
0000000612,54628489,76490208,124984
0000000613,54629799,76615192,124984
0000000614,54631109,76740176,124984
0000000615,54632390,76865160,124984
0000000616,54633643,76990144,124984
0000000617,54634896,77115128,124984
0000000618,54636149,77240112,124984
0000000619,54637402,77365096,124984
0000000620,54638655,77490080,124984
0000000621,54639907,77615064,124984
0000000622,54641160,77740048,124984
0000000623,54642413,77865032,124984
0000000624,54643666,77990016,124984
0000000625,54644919,78115000,124984
0000000626,54646172,78239984,124984
0000000627,54647425,78364968,124984
0000000628,54648678,78489952,124984
0000000629,54649931,78614936,124984
0000000630,54651184,78739920,124984
0000000631,54652436,78864904,124984
0000000632,54653689,78989888,124984
0000000633,54654942,79114872,124984
0000000634,54656209,79239856,124984
0000000635,54657519,79364840,124984
0000000636,54658829,79489824,124984
0000000637,54660139,79614808,124984
0000000638,54661449,79739792,124984
0000000639,54662759,79864776,124984
0000000640,54664068,79989760,124984
0000000641,54665378,80114744,124984
0000000642,54666688,80239728,124984
0000000643,54667998,80364712,124984
0000000644,54669308,80489696,124984
0000000645,54670618,80614680,124984
0000000646,54671928,80739664,124984
0000000647,54673237,80864648,124984
0000000648,54674547,80989632,124984
0000000649,54675857,81114616,124984
0000000650,54677167,81239600,124984
0000000651,54678477,81364584,124984
0000000652,54679787,81489568,124984
0000000653,54681097,81614552,124984
0000000654,54682378,81739536,124984
0000000655,54683631,81864520,124984
0000000656,54684884,81989504,124984
0000000657,54686137,82114488,124984
0000000658,54687389,82239472,124984
0000000659,54688642,82364456,124984
0000000660,54689895,82489440,124984
0000000661,54691148,82614424,124984
0000000662,54692401,82739408,124984
0000000663,54693654,82864392,124984
0000000664,54694907,82989376,124984
0000000665,54696160,83114360,124984
0000000666,54697413,83239344,124984
0000000667,54698666,83364328,124984
0000000668,54699918,83489312,124984
0000000669,54701171,83614296,124984
0000000670,54702424,83739280,124984
0000000671,54703677,83864264,124984
0000000672,54704930,83989248,124984
0000000673,54706197,84114232,124984
0000000674,54707507,84239216,124984
0000000675,54708817,84364200,124984
0000000676,54710127,84489184,124984
0000000677,54711437,84614168,124984
0000000678,54712746,84739152,124984
0000000679,54714056,84864136,124984
0000000680,54715366,84989120,124984
0000000681,54716676,85114104,124984
0000000682,54717986,85239088,124984
0000000683,54719296,85364072,124984
0000000684,54720606,85489056,124984
0000000685,54721915,85614040,124984
0000000686,54723225,85739024,124984
0000000687,54724535,85864008,124984
0000000688,54725845,85988992,124984
0000000689,54727155,86113976,124984
0000000690,54728465,86238960,124984
0000000691,54729775,86363944,124984
0000000692,54731084,86488928,124984
0000000693,54732366,86613912,124984
0000000694,54733619,86738896,124984
